,man thing reason t01,god lord written t02,specie thing object t03,good evil action t04,virtue moral reason t05,nature natural man t06,sin sins man t07,end thing intention t08,knowledge thing intellect t09,power reason subject t10,act acts voluntary t11,charity god love t12,greater man greatest t13,body flesh soul t14,punishment death man t15,happiness man perfect t16,passion appetite movement t17,give work alms t18,justice man person t19,love friendship good t20,pleasure desire concupiscence t21,common people good t22,fortitude virtue temperance t23,soul body angel t24,law human divine t25,precept law commandment t26,faith unbelief unbeliever t27,vice pride opposed t28,increase circumstance measure t29,grace god man t30,habit disposition nature t31,merit reward life t32,hope object despair t33,man judge lawful t34,church spiritual bishop t35,gift holy ghost t36,god religion worship t37,honor man great t38,counsel judgment matter t39,religious perfection state t40,child father parent t41,sin mortal venial t42,sorrow pleasure pain t43,prudence art part t43,truth lie false t45,sacrifice offered worship t46,fear evil daring t47,life contemplation active t48,covetousness liberality money t49,word person man t50,anger angry envy t51,thing bound money t52,lust chastity virginity t53,peace glory vainglory t54,vow oath religion t55,prayer pray god t56,prophecy prophet revelation t57,sin original soul t58,man devil sin t59,demon future divination t60
fpsp.q2.a3,0.08206454844457672,0.14252984471413646,0.0,0.06517868096140833,0.0,0.0,0.0,0.0,0.10134249064157366,0.0,0.0,0.0,0.0,0.0,0.0,0.2546058140065101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624754778535617,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a4,0.0,0.07805930547213957,0.0,0.21263974169526426,0.0,0.0,0.0,0.0,0.0,0.16733959347928326,0.0,0.0,0.0,0.0,0.0,0.3385855665948439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a5,0.0,0.0,0.0,0.0,0.0,0.19118027631429665,0.0,0.2387941711177564,0.0,0.0,0.0,0.0,0.051981433875256715,0.06387538728221119,0.0,0.218778206085019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10746765620644487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a6,0.06692076662305156,0.0,0.0,0.0,0.0,0.0,0.0,0.05367953267350623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2355387106254485,0.0,0.0,0.0,0.0,0.32020312583605226,0.0,0.0,0.08487604784868595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a7,0.0,0.0,0.0,0.14650735596793998,0.0,0.0,0.0,0.10987719267148466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43803289369098986,0.0,0.0,0.0,0.10561706512955438,0.0,0.0,0.0,0.11775205804112687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a8,0.0,0.0,0.0,0.0,0.0,0.10022381965494118,0.0,0.1218313760364392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507619501038094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10424648591732112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2356914034141914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776683193054398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a2,0.12161714632274798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056611036931791064,0.0,0.0,0.0,0.0,0.6145953510238475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993504354507222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375624988257509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1918934422789327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a4,0.05336581691355872,0.0,0.0,0.0,0.0,0.0,0.0,0.1450757618605002,0.08347040772286185,0.0,0.1327306074192922,0.0,0.0,0.0,0.0,0.474475177060161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
